Suitability Class,Temperature(°C),LULC,Rainfall(mm),Slope%,LST (°C), Soil PH,Carbon,DEM(m) ,NDVI,Texture,Nitrogen,CEC,,,,,,,,,,,,,,
1 (Not Suitable),16 < & > 33,Water/Buildings,<300,>35, 16<&>35,0 - 0.1,<4,2500 - 2605,<0.1,Very clay,<0.2,<0.1,,,,,,,,,,,,,,
2 (Marginally suitable),26 - 33,Trees,300 - 500,18 - 35,29 - 35,>8.5,4 - 8,2000 - 2500,0.1 - 0.3,clay,0.2 - 0.5,0 - 15,,,,,,,,,,,,,,
3 (Moderately Suitable) ,23 - 26,Cropland,500 - 850,7 - 18,26 - 29,0.1 - 6.5,8 - 12,1800 - 2000,0.3 - 0.6,sandy,0.5 - 1.0,15 - 27,,,,,,,,,,,,,,
4 (Highly Suitable),16 -23,bareground,>850,0 - 7,16 - 26,6.5 - 8.5,>12,965 - 1800,>0.6,loamy,>1,>27,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
